id;num_responses;result_numeric;result_string;jhi_order
e048be6d-a1df-4f13-b8de-94a7586f86f7;19055;15580;maroon web-enabled;14232
e0358f82-9a08-4c38-8dca-b1e1821adc44;46044;96319;website incubate;9321
be84bed1-24d6-4121-96c2-3112a8c3dceb;76221;16197;user-facing;16172
da7592ff-86d5-4249-971a-902aa775e5d1;63972;67554;Usability;82681
b8be7fc4-c573-4c92-a7f1-0c4c8b850edb;36699;90191;dedicated;23766
7dabd859-fa07-4e3d-967e-0b553285ac37;39935;70094;Legacy;4554
4b4b0015-4313-4af5-93c7-2df01fcc77a9;96056;41362;Corporate generating;83057
6d636639-d0d2-4a69-89bc-4d890250b4d2;90916;63783;Fish Zambian Factors;4156
52958099-6489-4ed8-adab-96d1b8584a07;78659;35757;Plaza Anguilla programming;12887
3c1fe8b2-2815-44de-ba64-43a36d88915f;52253;7190;Account;28649
