id;name;advocate;coach;currently_coached;num_members;created_date
08a62f88-9845-4f9e-8242-47328a84195f;niches cutting-edge;Awesome edge;Towels Colombian Rustic;false;52704;2022-03-22T21:25:52
dface102-35c5-46f7-afa3-51c2e2c0125f;Steel;Bedfordshire;United support Buckinghamshire;true;18595;2022-03-22T22:23:54
0facebee-67fa-44e3-9d94-f5907dd9c9a9;world-class Oregon Granite;Montana;Ergonomic Soft;false;61560;2022-03-23T02:26:21
00f5806f-fd4f-4b8f-b934-ffd07dfce140;Barbados Assurance;calculating Corners Dakota;Practical orchid;true;52986;2022-03-22T20:02:05
1499457a-787d-4dff-a470-47fad943d4e6;Monitored installation Awesome;global;Senior;false;18928;2022-03-22T13:43:18
e9519a2e-fb49-401c-905c-9a6297b93441;intranet;cultivate quantifying Bedfordshire;clear-thinking;false;24918;2022-03-22T10:52:12
00f3e4d4-48a3-4f51-9321-037ecc7a11d9;Bedfordshire Concrete;program best-of-breed interfaces;Pizza Parkways Faso;true;15543;2022-03-23T07:53:58
785c0df0-ac30-4118-8b03-b8dc1be912eb;lime;deposit RSS;red Mouse multi-byte;false;925;2022-03-22T19:46:15
88b56e14-9000-4e79-9afb-5cc7eaa163c3;mission-critical global;Islands;Germany Gorgeous;true;2542;2022-03-23T05:59:59
606c9c63-0c56-4014-bb7c-2cc07b64df23;Central;schemas;AI Florida;false;11258;2022-03-22T09:33:31
